video_id,detected_objects
1008025297.mp4,person
1008225385.mp4,person
1008352831.mp4,bird
1009213511.mp4,"person, backpack, handbag"
1011708968.mp4,cell phone
1012242362.mp4,"laptop, keyboard"
1015020925.mp4,person
1015907545.mp4,person
1019328997.mp4,bird
1020193789.mp4,cat
1022262628.mp4,frisbee
1025242868.mp4,train
1027182956.mp4,person
1027596179.mp4,person
1027826198.mp4,"person, chair, laptop, couch"
1028384717.mp4,"car, bicycle"
1030536821.mp4,"chair, laptop, person, cup, potted plant"
1030936340.mp4,person
1034763644.mp4,bird
1037220071.mp4,train
1045364521.mp4,"person, dog, bench"
1045897996.mp4,person
1046464630.mp4,"cat, bottle, vase, book, bed, potted plant"
1050162196.mp4,"person, sports ball, bench, apple"
1054024412.mp4,"person, tie"
1008571156.mp4,"person, potted plant"
1010486219.mp4,"person, cup, snowboard"
1011217028.mp4,car
1012103000.mp4,person
1015275829.mp4,"person, suitcase"
1016208547.mp4,"person, handbag"
1016830279.mp4,"car, person, bench"
1017378295.mp4,"person, baseball glove"
1017430462.mp4,"person, tie"
1019209147.mp4,"person, boat"
1019979490.mp4,"person, bus, train"
1021289194.mp4,person
1021400692.mp4,"person, chair"
1023760444.mp4,"person, bowl, cake"
1029715394.mp4,"person, motorcycle, bicycle"
1030402730.mp4,person
1030716671.mp4,"person, cup, bottle"
1031235902.mp4,motorcycle
1031917055.mp4,"person, umbrella, chair, boat"
1032324740.mp4,"person, skis"
1032704447.mp4,person
1034340584.mp4,truck
1039010126.mp4,"person, boat"
1041313387.mp4,"person, skis"
1042549231.mp4,person
1045131292.mp4,person
10061864.mp4,"truck, traffic light, person, car, boat"
1008329122.mp4,"sports ball, banana, apple"
1008974342.mp4,"person, tie"
1010951984.mp4,"cat, dog"
1012360391.mp4,"person, chair"
1013797715.mp4,"orange, apple"
1014020162.mp4,"car, airplane, person, truck"
1014660494.mp4,person
1016158153.mp4,person
1018456546.mp4,carrot
1018968040.mp4,traffic light
1020413926.mp4,person
1023084424.mp4,person
1025823083.mp4,"tv, person"
1025909102.mp4,"person, potted plant"
1030478327.mp4,"person, umbrella, boat"
10314194.mp4,apple
1032810599.mp4,"person, cell phone"
1032858431.mp4,"kite, bird"
1039731332.mp4,vase
1040760554.mp4,cell phone
1041810955.mp4,person
1043255875.mp4,person
1045902079.mp4,train
1046500204.mp4,"person, dog"
1054577831.mp4,clock
1008964217.mp4,airplane
1009573232.mp4,"cup, bowl"
1010693612.mp4,tv
1010804138.mp4,clock
1011067508.mp4,"remote, cell phone"
1011603272.mp4,"bear, train"
1012487831.mp4,"person, dog, skis"
1016290003.mp4,person
1016317303.mp4,"person, tie, cell phone"
1017370801.mp4,"person, boat"
1018504888.mp4,person
1019503663.mp4,"person, surfboard"
1022327146.mp4,"person, car, clock, suitcase"
1022972191.mp4,"person, kite, boat"
1023513721.mp4,"truck, car"
1027991537.mp4,boat
1032962582.mp4,"person, skis, handbag"
1035255674.mp4,"person, horse"
1036955219.mp4,person
1041411628.mp4,"person, banana, bird"
1042119748.mp4,"person, cup, chair"
1044227503.mp4,boat
1045174579.mp4,"truck, person, car"
1046760787.mp4,"person, boat"
1048452574.mp4,person
1048949308.mp4,"person, chair, handbag"
1050826648.mp4,"stop sign, kite"
1051735264.mp4,clock
1008864965.mp4,cow
1008978491.mp4,clock
1014765629.mp4,person
1016098096.mp4,"person, horse"
1022479186.mp4,person
1028729720.mp4,"car, person"
1034476472.mp4,"person, tennis racket, dog"
1034807063.mp4,sheep
1036040732.mp4,person
1036759733.mp4,person
1045413643.mp4,person
1049097430.mp4,"person, cup"
1050975973.mp4,"person, wine glass"
1053660785.mp4,"person, cell phone"
1057099127.mp4,person
1059146582.mp4,person
1062971287.mp4,donut
1007638360.mp4,"car, traffic light, truck"
1007855938.mp4,"person, hot dog"
1009649894.mp4,"person, dining table"
1010319830.mp4,"person, tie"
1011910754.mp4,bird
1018584220.mp4,"person, dining table, vase"
1023153244.mp4,"person, snowboard"
1023872017.mp4,person
1024458572.mp4,"person, wine glass, cell phone, bottle"
1026069557.mp4,"car, traffic light"
1026469166.mp4,"person, backpack, chair, handbag"
1030215074.mp4,"refrigerator, person, cup, cell phone, potted plant"
1032060299.mp4,person
1032964073.mp4,hot dog
1035172592.mp4,"bowl, bottle, apple, vase, person, cup, orange, dining table, tie, potted plant"
1038327812.mp4,train
1040015384.mp4,"person, chair, car, cell phone"
1040519123.mp4,person
1045094581.mp4,person
1046482201.mp4,kite
1046484532.mp4,person
1050087076.mp4,"car, cow, person, horse"
1052340271.mp4,"person, remote, laptop, couch"
1005602482.mp4,bowl
1009802639.mp4,"person, car"
1012721474.mp4,"person, cup, tie, cell phone"
1015339144.mp4,"umbrella, motorcycle, traffic light"
1015384471.mp4,"truck, zebra"
1016242180.mp4,person
1019975071.mp4,bird
1020610966.mp4,"person, bird"
1026461201.mp4,person
1028669888.mp4,"suitcase, chair, person, cup, handbag"
1029301637.mp4,"spoon, clock"
1029925031.mp4,person
1031159156.mp4,person
1041307921.mp4,"person, truck, car"
1048087138.mp4,"suitcase, umbrella, person, handbag, potted plant"
1048613251.mp4,"person, wine glass"
1050147274.mp4,"kite, person"
1050967558.mp4,"toilet, vase"
1051420597.mp4,"person, remote, chair"
1051837732.mp4,vase
1053764243.mp4,umbrella
1006702831.mp4,person
1007035276.mp4,"person, potted plant"
1007979343.mp4,tie
1008530335.mp4,"person, umbrella"
1015838629.mp4,boat
1016184982.mp4,person
1017176077.mp4,clock
1017444205.mp4,car
1018153342.mp4,person
1018388731.mp4,"bowl, vase"
