videoid,contentUrl,duration,page_dir,name,duration_seconds,cleaned_name,cluster,merged_dir
1017149674,https://ak.picdn.net/shutterstock/videos/1017149674/preview/stock-footage-evanston-il-united-states-september-aerial-view-of-northwestern-university-campus.mp4,PT00H00M23S,067151_067200,"Evanston, il / united states - september 2, 2018: aerial view of northwestern university campus",23.0,evanston il united state september aerial view northwestern university campus,0,067151_067200
33518965,https://ak.picdn.net/shutterstock/videos/33518965/preview/stock-footage-drone-follows-adventure-traveler-riding-his-motorcycle-on-epic-scenery-serpentine-mountain-roads.mp4,PT00H00M35S,067151_067200,Drone follows adventure traveler riding his motorcycle on epic scenery serpentine mountain roads toward the town next to ocean. he descending from top to down after his trip,35.0,drone follows adventure traveler riding motorcycle epic scenery serpentine mountain road toward town next ocean descending top trip,0,067151_067200
15663769,https://ak.picdn.net/shutterstock/videos/15663769/preview/stock-footage-melbourne-february-beautiful-unusual-pedestrian-bridge-across-the-river-yarru-and.mp4,PT00H00M26S,067151_067200,"Melbourne - february 23, 2016: beautiful unusual pedestrian bridge across the river yarru and people go over the bridge across the river february 23, 2016, melbourne, australia",26.0,melbourne february beautiful unusual pedestrian bridge across river yarru people go bridge across river february melbourne australia,0,067151_067200
1012023761,https://ak.picdn.net/shutterstock/videos/1012023761/preview/stock-footage-portrait-of-serious-startup-business-man-looking-pensive-staring-at-camera-contemporary-office.mp4,PT00H00M07S,067151_067200,Portrait of serious startup business man looking pensive staring at camera contemporary office background,7.0,portrait serious startup business man looking pensive staring camera contemporary office background,0,067151_067200
785869,https://ak.picdn.net/shutterstock/videos/785869/preview/stock-footage-yacht-drifting-along-a-channel.mp4,PT00H00M09S,067151_067200,Yacht drifting along a channel,9.0,yacht drifting along channel,0,067151_067200
21142174,https://ak.picdn.net/shutterstock/videos/21142174/preview/stock-footage--k-time-lapse-footage-of-the-isar-nuclear-power-plant-in-essenbach-germany.mp4,PT00H00M15S,067151_067200,"4k time-lapse footage of the isar 2 nuclear power plant in essenbach, germany",15.0,k timelapse footage isar nuclear power plant essenbach germany,0,067151_067200
1008025297,https://ak.picdn.net/shutterstock/videos/1008025297/preview/stock-footage-woman-in-a-jacket-and-a-blue-hat-and-with-a-scarf-goes-along-the-alley-with-pine-trees-in-winter.mp4,PT00H00M12S,067151_067200,Woman in a jacket and a blue hat and with a scarf goes along the alley with pine trees in winter,12.0,woman jacket blue hat scarf go along alley pine tree winter,0,067151_067200
1142893,https://ak.picdn.net/shutterstock/videos/1142893/preview/stock-footage-walk-over-caribbean-water.mp4,PT00H00M08S,067151_067200,Walk over caribbean water,8.0,walk caribbean water,0,067151_067200
1047055102,https://ak.picdn.net/shutterstock/videos/1047055102/preview/stock-footage-motion-graphic-with-mandala-style-happy-patrick-day.mp4,PT00H00M10S,067151_067200,"Motion graphic with mandala style, happy patrick day ",10.0,motion graphic mandala style happy patrick day,0,067151_067200
1049540023,https://ak.picdn.net/shutterstock/videos/1049540023/preview/stock-footage-light-shining-through-the-cannabis-leaves.mp4,PT00H00M15S,067151_067200,Light shining through the cannabis leaves,15.0,light shining cannabis leaf,0,067151_067200
8197543,https://ak.picdn.net/shutterstock/videos/8197543/preview/stock-footage-sea-near-giats-causeway-northern-ireland.mp4,PT00H00M21S,067151_067200,"Sea near giats causeway, northern ireland",21.0,sea near giats causeway northern ireland,0,067151_067200
1046464630,https://ak.picdn.net/shutterstock/videos/1046464630/preview/stock-footage-happy-mothers-day-cute-little-girl-congratulating-her-mom-in-the-morning-with-a-bouquet-of-tulips.mp4,PT00H00M10S,067151_067200,Happy mothers day! cute little girl congratulating her mom in the morning with a bouquet of tulips and self-made greeting card. slow motion,10.0,happy mother day cute little girl congratulating mom morning bouquet tulip selfmade greeting card slow motion,0,067151_067200
28745557,https://ak.picdn.net/shutterstock/videos/28745557/preview/stock-footage-dunlin-in-water-and-greenshank-standing-asleep.mp4,PT00H00M24S,067151_067200,Dunlin in water  and greenshank standing asleep,24.0,dunlin water greenshank standing asleep,0,067151_067200
